Survey Response,Journal Name,Other Journal,Date,Professional Status,Gender (optional),Race/Ethnic Background (optional),Review Time in Months,Initial Verdict,Sets of Reviewer Comments Initially Provided,Quality of Referee Comments,Overall Experience with Editors,Revise and Resubmit Verdict (also Conditional Acceptance),Time from Acceptance to Publication,Field 13,Journals,Acceptances,Rejections,Conditional Acceptances,Revise and Resubmits,Overall Acceptance,Initial withdrawals,Revise and Resubmit Withdrawals
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,2.00,Revise and Resubmit,2.0,4.0,,Accept,14.0,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,7.00,Reject,3.0,4.0,,,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,2.00,Reject,2.0,4.0,,,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,4.00,Reject,2.0,4.0,,,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,14.00,Reject,1.0,4.0,,Accept,14.0,,,,Reject,,,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,13.00,Revise and Resubmit,2.0,4.0,,Accept,10.0,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,8.00,Revise and Resubmit,2.0,4.0,,Accept,13.0,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,7.00,Revise and Resubmit,2.0,3.0,,Accept,9.0,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,5.00,Revise and Resubmit,2.0,4.0,,Accept,9.0,,,,,,Revise and Resubmit,Accept,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Phil Wiki Import,,,9.00,Revise and Resubmit,2.0,4.0,,Reject,15.0,,,,,,Revise and Resubmit,,,
